13818513_1	Cookies
13728867_1	election
13728867_2	Liberals
13728867_3	Me
13728867_3	too
13681000_1	Hi
13681000_2	mood
13681000_2	but
13681000_3	plan
13681000_4	Oh
13681000_4	uni
13681000_4	stuff
13681000_4	unfucking
13681000_4	my
13681000_4	room
13681000_5	Ill
13681000_5	move
13681000_5	my
13681000_5	ass
13681000_5	and
13681000_6	fridge
13681000_6	defrost
13681000_6	shopping
13681000_6	defrosted
13681000_6	veggies
13681000_7	stuff
13681000_7	technique
13681000_7	recommend
13681000_7	breaks
13681000_9	thanks
13681000_10	style
13681000_10	postits
13681000_10	use
13730747_4	Open
13730747_4	your
13730747_4	fuing
13728094_1	Hey
13728094_1	rick
13728094_4	phone
13728094_7	damn
13728094_9	wow
13728094_13	boyfriend
13728094_20	future
13728094_21	sam
13716343_1	Hi
13716343_2	serious
13716343_3	serious
13716343_3	vacation
13716343_3	wedding
13716343_3	anniversary
13716343_5	Haha
13716343_5	D
13716343_6	September
13716343_6	17
13716343_6	year
13611672_1	Ave
13611672_1	homework
13611672_2	hello
13611672_2	D
13611672_2	D
13611672_3	exactly
13611672_5	Cool
13611672_5	thanks
13611672_5	Sorry
13611672_5	busy
13611672_5	boss
13611672_7	treat
13611672_8	sorry
13611672_8	chief
13611672_9	support
13611672_10	ignore
13611672_10	try
13611672_11	week
13611672_11	beer
13611672_12	classes
13611672_12	time
13611672_12	busy
13611672_13	bar
13611672_14	homework
13611672_14	page
13611672_14	ex
13611672_14	chapter
13611672_14	vocabulary
13611672_14	pages
13611672_16	words
13611672_16	circle
13611672_16	continue
13611672_17	D
13611672_18	questions
13611672_18	text
13611672_18	call
13611672_18	help
13611672_19	time
13611672_19	waste
13611672_19	xD
13611672_20	time
13611672_20	waste
13611672_20	teacher
13611672_20	P
13611672_21	D
13611672_21	touch
13611672_22	Sure
13611672_22	have
13611672_22	a
13611672_22	nice
13611672_22	evening
13611672_22	D
13611672_23	se
13611672_23	ya
13611672_24	Byeeeee
13730463_1	Youtube
13730463_1	song
13730463_2	song
13730463_3	fileother
13730463_4	Oh
13730463_7	playlist
13730463_7	lyrics
13730463_7	D
13730463_8	Haha
13730463_8	lyrics
13730463_8	D
13730463_11	brain
13730463_11	connect
13730463_15	to
13730463_15	D
13730463_16	Hahaha
13809976_2	busy
13809976_4	o
13809976_4	o
13809976_4	o
13809976_5	boss
13809912_1	date
13809912_2	Wow
13809912_2	question
13809912_6	Can
13809912_6	I
13809912_6	think
13809912_6	about
13809912_6	it
13809912_7	What
13809912_7	is
13809912_7	there
13809912_7	to
13809912_7	think
13809912_7	about
13809912_8	Well
13809912_8	I
13809912_8	dont
13809912_8	really
13809912_8	know
13809912_8	you
